tract_id,lat,lon,population,deprivation_index,is_hot_corridor,nearest_site_id,nearest_site_km,site_id,open_date,event_count,rate_per_1k,gi_zscore,gi_pvalue,hotspot_type
06075000001,37.78562830247853,-122.41380080694503,4384,0.675,True,HR001,0.2031341608545332,HR001,2024-03-01,89,20.301094890510946,0.897879560592962,0.057,not significant
06075000002,37.77756009536256,-122.41881826356544,3149,0.775,True,HR001,0.8254452400736156,HR001,2024-03-01,116,36.83709114004446,0.9193306479942119,0.051,not significant
06075000003,37.78830270717483,-122.40842361215084,4364,0.662,True,HR001,0.6812078887778342,HR001,2024-03-01,84,19.24839596700275,0.781926545835662,0.095,not significant
06075000004,37.789443388298345,-122.40903324838744,7790,0.798,True,HR001,0.7483252274110437,HR001,2024-03-01,146,18.741976893453145,0.7922228748566201,0.093,not significant
06075000005,37.77209378886808,-122.41330381581464,4514,0.749,True,HR002,0.981069418059304,HR002,2024-09-15,109,24.14709791758972,1.2126633283715045,0.011,"HOT SPOT (p<0.05, perm test)"
06075000006,37.77598692295883,-122.4069365527582,7497,0.693,True,HR002,0.3025957822092092,HR002,2024-09-15,115,15.339469120981727,0.9042808090080713,0.051,not significant
06075000007,37.784567042419006,-122.41089494394647,5222,0.681,True,HR001,0.2603894321534235,HR001,2024-03-01,92,17.617770968977403,0.9406984895548202,0.049,"HOT SPOT (p<0.05, perm test)"
06075000008,37.78190254444594,-122.41885575477733,6348,0.826,True,HR001,0.4989355545500168,HR001,2024-03-01,129,20.321361058601134,1.2047121144885726,0.011,"HOT SPOT (p<0.05, perm test)"
06075000009,37.780712504704496,-122.408169966933,5015,0.701,True,HR002,0.3333898198920509,HR002,2024-09-15,122,24.32701894317049,0.6159313012674604,0.159,not significant
06075000010,37.772746704395026,-122.40771280130294,3962,0.928,True,HR002,0.6649750638933883,HR002,2024-09-15,112,28.268551236749115,0.8415289770792046,0.069,not significant
06075000011,37.783770701807846,-122.40240614488668,6703,0.824,True,HR002,0.6486837754393739,HR002,2024-09-15,145,21.632105027599582,0.8452212016140318,0.067,not significant
06075000012,37.778200444534086,-122.40340733561382,7830,0.754,True,HR002,0.1952213340932392,HR002,2024-09-15,129,16.47509578544061,0.7843161882956138,0.087,not significant
06075000013,37.77739082581873,-122.40312360433045,3949,0.827,True,HR002,0.2497221518096833,HR002,2024-09-15,74,18.738921245885034,0.7374903550630065,0.105,not significant
06075000014,37.77441442273358,-122.40301507398196,6783,0.657,True,HR002,0.5070449773322115,HR002,2024-09-15,122,17.986141825151112,0.8493569598661226,0.065,not significant
06075000015,37.78583524803204,-122.3927501143948,3936,0.938,True,HR002,1.3905921152357277,HR002,2024-09-15,125,31.758130081300813,0.7982709433614232,0.073,not significant
06075000016,37.77757282310759,-122.40803849009832,6442,0.795,True,HR002,0.2374042112364154,HR002,2024-09-15,128,19.869605712511643,0.9668476087756288,0.023,"HOT SPOT (p<0.05, perm test)"
06075000017,37.75682654362557,-122.41034047497278,6839,0.585,False,HR003,0.5191751866263447,HR003,2025-01-10,34,4.971487059511624,-0.5872540326822705,0.157,not significant
06075000018,37.755017363630515,-122.41154107439016,4971,0.375,False,HR003,0.612803343390324,HR003,2025-01-10,15,3.017501508750754,-0.5474316990497894,0.211,not significant
06075000019,37.763595876535454,-122.41879305824374,6553,0.496,False,HR003,0.5395181107508192,HR003,2025-01-10,55,8.39310239584923,-0.0022862747871425886,0.941,not significant
06075000020,37.76667383375633,-122.4134070320616,3997,0.497,False,HR003,0.7617664145689881,HR003,2025-01-10,47,11.758819114335752,0.2512991776996054,0.503,not significant
06075000021,37.75921631525407,-122.41409988514516,2935,0.631,False,HR003,0.0976414767562577,HR003,2025-01-10,23,7.836456558773424,-0.6463051299062172,0.107,not significant
06075000022,37.75485906113823,-122.41348786841962,3030,0.522,False,HR003,0.5712698100330055,HR003,2025-01-10,45,14.851485148514852,-0.7967951209551494,0.043,"COLD SPOT (p<0.05, perm test)"
06075000023,37.754953112705856,-122.40957142733232,4958,0.492,False,HR003,0.715581540272364,HR003,2025-01-10,47,9.479628882613957,-0.6806762946992871,0.093,not significant
06075000024,37.76380355672695,-122.41345842670736,7464,0.43,False,HR003,0.4490032109620405,HR003,2025-01-10,47,6.296891747052518,-0.19868837524080024,0.699,not significant
06075000025,37.73957348137843,-122.39105085350737,3201,0.449,False,HR004,0.4748110546390039,HR004,2025-06-01,28,8.747266479225242,-0.99133666721562,0.005,"COLD SPOT (p<0.05, perm test)"
06075000026,37.73590547441694,-122.3804303521326,5006,0.506,False,HR004,0.7886723471893763,HR004,2025-06-01,14,2.796644027167399,-0.8859142911810507,0.023,"COLD SPOT (p<0.05, perm test)"
06075000027,37.737234716392145,-122.39459498669416,6372,0.482,False,HR004,0.4950153785493594,HR004,2025-06-01,21,3.2956685499058382,-0.8998373580145433,0.021,"COLD SPOT (p<0.05, perm test)"
06075000028,37.739287729355034,-122.38359032987243,3612,0.356,False,HR004,0.6609457014573955,HR004,2025-06-01,23,6.36766334440753,-0.9555345529523736,0.013,"COLD SPOT (p<0.05, perm test)"
06075000029,37.72675706508087,-122.39949721862968,6468,0.598,False,HR004,1.3143634185812323,HR004,2025-06-01,54,8.348794063079778,-0.9347795823649526,0.015,"COLD SPOT (p<0.05, perm test)"
06075000030,37.733581972701856,-122.39140931017992,4182,0.619,False,HR004,0.2764764680569615,HR004,2025-06-01,25,5.978000956480153,-0.9355581929347107,0.015,"COLD SPOT (p<0.05, perm test)"
