date,event_count,temperature_mean_c,precipitation_mm,elapsed_periods,month
2024-01-07,80,9.757142857142856,21.9,0.8571428571428571,1
2024-01-14,65,12.378571428571428,24.900000000000002,1.8571428571428572,1
2024-01-21,63,13.428571428571429,37.599999999999994,2.857142857142857,1
2024-01-28,80,13.37857142857143,57.199999999999996,3.857142857142857,1
2024-02-04,68,11.064285714285715,40.1,4.857142857142857,2
2024-02-11,70,11.778571428571428,12.5,5.857142857142857,2
2024-02-18,64,13.057142857142855,27.9,6.857142857142857,2
2024-02-25,74,12.407142857142858,41.0,7.857142857142857,2
2024-03-03,80,11.985714285714286,13.7,8.857142857142858,3
2024-03-10,67,14.607142857142856,6.0,9.857142857142858,3
2024-03-17,84,14.164285714285713,7.1,10.857142857142858,3
2024-03-24,91,12.5,27.7,11.857142857142858,3
2024-03-31,94,12.664285714285715,12.7,12.857142857142858,3
2024-04-07,63,13.892857142857139,5.6,13.857142857142858,4
2024-04-14,59,15.185714285714287,1.3,14.857142857142858,4
2024-04-21,91,15.314285714285715,0.0,15.857142857142858,4
2024-04-28,67,14.52142857142857,24.1,16.857142857142858,4
2024-05-05,81,16.785714285714285,0.0,17.857142857142858,5
2024-05-12,87,15.707142857142859,0.0,18.857142857142858,5
2024-05-19,70,15.557142857142859,0.0,19.857142857142858,5
2024-05-26,70,16.55,0.0,20.857142857142858,5
2024-06-02,70,17.0,0.0,21.857142857142858,6
2024-06-09,48,16.185714285714287,0.0,22.857142857142858,6
2024-06-16,61,15.292857142857143,0.0,23.857142857142858,6
2024-06-23,54,16.342857142857145,0.0,24.857142857142858,6
2024-06-30,42,19.99285714285714,0.0,25.857142857142858,6
2024-07-07,53,18.03571428571429,0.0,26.857142857142858,7
2024-07-14,66,17.292857142857144,0.0,27.857142857142858,7
2024-07-21,62,17.514285714285716,0.0,28.857142857142858,7
2024-07-28,44,16.47142857142857,0.0,29.857142857142858,7
2024-08-04,61,15.435714285714287,0.0,30.857142857142858,8
2024-08-11,46,16.164285714285715,0.0,31.857142857142858,8
2024-08-18,55,17.17142857142857,2.5,32.857142857142854,8
2024-08-25,56,18.928571428571427,0.0,33.857142857142854,8
2024-09-01,61,17.585714285714282,0.0,34.857142857142854,9
2024-09-08,43,16.175,0.0,35.857142857142854,9
2024-09-15,47,15.942857142857141,0.0,36.857142857142854,9
2024-09-22,54,18.52857142857143,0.0,37.857142857142854,9
2024-09-29,54,22.72142857142857,0.0,38.857142857142854,9
2024-10-06,49,19.17142857142857,0.0,39.857142857142854,10
2024-10-13,64,17.45714285714286,0.0,40.857142857142854,10
2024-10-20,62,16.264285714285712,0.0,41.857142857142854,10
2024-10-27,63,14.571428571428571,0.8999999999999999,42.857142857142854,10
2024-11-03,57,15.714285714285714,0.0,43.857142857142854,11
2024-11-10,42,13.485714285714286,6.1,44.857142857142854,11
2024-11-17,34,12.95,85.1,45.857142857142854,11
2024-11-24,53,11.664285714285715,10.899999999999999,46.857142857142854,11
2024-12-01,50,13.450000000000001,0.0,47.857142857142854,12
2024-12-08,53,12.378571428571432,68.9,48.857142857142854,12
2024-12-15,56,10.814285714285715,9.899999999999999,49.857142857142854,12
2024-12-22,52,13.892857142857142,28.799999999999997,50.857142857142854,12
2025-01-05,50,13.321428571428571,0.0,52.857142857142854,1
2025-01-12,92,11.049999999999999,0.0,53.857142857142854,1
2025-01-19,61,10.907142857142857,0.3,54.857142857142854,1
2025-01-26,59,10.921428571428573,7.1,55.857142857142854,1
2025-02-02,66,12.142857142857142,66.8,56.857142857142854,2
2025-02-09,68,10.007142857142856,58.49999999999999,57.857142857142854,2
2025-02-16,66,12.292857142857143,0.5,58.857142857142854,2
2025-02-23,74,13.892857142857142,0.5,59.857142857142854,2
2025-03-02,74,11.657142857142858,4.3,60.857142857142854,3
2025-03-09,58,11.692857142857145,27.8,61.857142857142854,3
2025-03-16,73,11.678571428571429,4.8,62.857142857142854,3
2025-03-23,61,15.107142857142858,2.8,63.857142857142854,3
2025-03-30,76,12.85,11.399999999999999,64.85714285714286,3
2025-04-06,65,14.52142857142857,0.3,65.85714285714286,4
2025-04-13,77,14.528571428571427,0.0,66.85714285714286,4
2025-04-20,63,13.207142857142857,1.1,67.85714285714286,4
2025-04-27,70,13.535714285714286,0.3,68.85714285714286,4
2025-05-04,74,16.47142857142857,0.0,69.85714285714286,5
2025-05-11,71,14.921428571428573,2.5,70.85714285714286,5
2025-05-18,56,14.635714285714284,0.0,71.85714285714286,5
2025-05-25,72,16.12142857142857,0.0,72.85714285714286,5
2025-06-01,57,16.349999999999998,0.0,73.85714285714286,6
2025-06-08,59,14.957142857142857,0.0,74.85714285714286,6
2025-06-15,58,14.928571428571429,0.0,75.85714285714286,6
2025-06-22,63,15.914285714285715,0.0,76.85714285714286,6
2025-06-29,64,15.87142857142857,0.0,77.85714285714286,6
2025-07-06,52,16.942857142857143,0.0,78.85714285714286,7
2025-07-13,61,16.907142857142855,0.0,79.85714285714286,7
2025-07-20,59,17.228571428571428,0.0,80.85714285714286,7
2025-07-27,67,17.45714285714286,0.0,81.85714285714286,7
2025-08-03,57,18.421428571428574,0.0,82.85714285714286,8
2025-08-10,73,17.9,0.0,83.85714285714286,8
2025-08-17,58,18.849999999999998,0.0,84.85714285714286,8
2025-08-24,52,19.371428571428574,0.0,85.85714285714286,8
2025-08-31,54,19.36428571428571,0.0,86.85714285714286,8
2025-09-07,58,19.614285714285717,0.5,87.85714285714286,9
2025-09-14,52,19.607142857142858,0.5,88.85714285714286,9
2025-09-21,47,20.321428571428577,0.0,89.85714285714286,9
2025-09-28,62,19.092857142857145,4.1,90.85714285714286,9
2025-10-05,67,18.928571428571427,0.0,91.85714285714286,10
2025-10-12,64,16.064285714285713,22.1,92.85714285714286,10
2025-10-19,39,17.014285714285712,0.0,93.85714285714286,10
2025-10-26,65,16.814285714285713,0.8,94.85714285714286,10
2025-11-02,59,16.592857142857145,1.3,95.85714285714286,11
2025-11-09,61,17.328571428571426,42.199999999999996,96.85714285714286,11
2025-11-16,70,13.378571428571428,43.699999999999996,97.85714285714286,11
2025-11-23,47,11.578571428571427,0.0,98.85714285714286,11
2025-11-30,63,10.321428571428571,0.0,99.85714285714286,11
2025-12-07,39,9.521428571428572,0.0,100.85714285714286,12
2025-12-14,43,11.985714285714286,6.1,101.85714285714286,12
2025-12-21,38,14.214285714285714,81.60000000000001,102.85714285714286,12
