tract_id,lat,lon,population,deprivation_index,is_hot_corridor,nearest_site_id,nearest_site_km,site_id,open_date
6075000001,37.78562830247853,-122.41380080694503,4384,0.675,True,HR001,0.2031341608545332,HR001,2024-03-01
6075000002,37.77756009536256,-122.41881826356544,3149,0.775,True,HR001,0.8254452400736156,HR001,2024-03-01
6075000003,37.78830270717484,-122.40842361215084,4364,0.662,True,HR001,0.6812078887789914,HR001,2024-03-01
6075000004,37.789443388298345,-122.40903324838744,7790,0.798,True,HR001,0.7483252274110437,HR001,2024-03-01
6075000005,37.77209378886808,-122.41330381581464,4514,0.749,True,HR002,0.9810694180593041,HR002,2024-09-15
6075000006,37.77598692295883,-122.4069365527582,7497,0.693,True,HR002,0.30259578220920924,HR002,2024-09-15
6075000007,37.784567042419006,-122.41089494394647,5222,0.681,True,HR001,0.2603894321534235,HR001,2024-03-01
6075000008,37.78190254444594,-122.41885575477733,6348,0.826,True,HR001,0.49893555455001687,HR001,2024-03-01
6075000009,37.780712504704496,-122.408169966933,5015,0.701,True,HR002,0.3333898198920509,HR002,2024-09-15
6075000010,37.77274670439503,-122.40771280130294,3962,0.928,True,HR002,0.664975063892631,HR002,2024-09-15
6075000011,37.783770701807846,-122.40240614488668,6703,0.824,True,HR002,0.6486837754393739,HR002,2024-09-15
6075000012,37.778200444534086,-122.40340733561382,7830,0.754,True,HR002,0.19522133409323927,HR002,2024-09-15
6075000013,37.77739082581873,-122.40312360433045,3949,0.827,True,HR002,0.2497221518096833,HR002,2024-09-15
6075000014,37.77441442273358,-122.40301507398196,6783,0.657,True,HR002,0.5070449773322115,HR002,2024-09-15
6075000015,37.78583524803204,-122.3927501143948,3936,0.938,True,HR002,1.3905921152357275,HR002,2024-09-15
6075000016,37.77757282310759,-122.40803849009832,6442,0.795,True,HR002,0.23740421123641547,HR002,2024-09-15
6075000017,37.75682654362557,-122.41034047497278,6839,0.585,False,HR003,0.5191751866263447,HR003,2025-01-10
6075000018,37.75501736363052,-122.41154107439016,4971,0.375,False,HR003,0.6128033433896265,HR003,2025-01-10
6075000019,37.763595876535454,-122.41879305824374,6553,0.496,False,HR003,0.5395181107508192,HR003,2025-01-10
6075000020,37.76667383375633,-122.4134070320616,3997,0.497,False,HR003,0.7617664145689881,HR003,2025-01-10
6075000021,37.75921631525407,-122.41409988514516,2935,0.631,False,HR003,0.09764147675625776,HR003,2025-01-10
6075000022,37.75485906113823,-122.41348786841962,3030,0.522,False,HR003,0.5712698100330055,HR003,2025-01-10
6075000023,37.754953112705856,-122.40957142733232,4958,0.492,False,HR003,0.715581540272364,HR003,2025-01-10
6075000024,37.76380355672695,-122.41345842670736,7464,0.43,False,HR003,0.4490032109620405,HR003,2025-01-10
6075000025,37.73957348137844,-122.39105085350737,3201,0.449,False,HR004,0.4748110546405061,HR004,2025-06-01
6075000026,37.73590547441694,-122.3804303521326,5006,0.506,False,HR004,0.7886723471893763,HR004,2025-06-01
6075000027,37.73723471639215,-122.39459498669416,6372,0.482,False,HR004,0.4950153785496662,HR004,2025-06-01
6075000028,37.73928772935504,-122.38359032987243,3612,0.356,False,HR004,0.6609457014578972,HR004,2025-06-01
6075000029,37.72675706508087,-122.39949721862968,6468,0.598,False,HR004,1.3143634185812325,HR004,2025-06-01
6075000030,37.733581972701856,-122.39140931017992,4182,0.619,False,HR004,0.2764764680569615,HR004,2025-06-01
6075000031,37.732677764074246,-122.38842348160937,6947,0.392,False,HR004,0.3247854265676811,HR004,2025-06-01
6075000032,37.73166673291054,-122.38588266601184,5685,0.516,False,HR004,0.5257229151334942,HR004,2025-06-01
6075000033,37.79979293029275,-122.40341286668549,5507,0.193,False,HR001,1.9913903272872508,HR001,2024-03-01
6075000034,37.802667153232,-122.44256740793732,3472,0.419,False,HR001,3.285953303313872,HR001,2024-03-01
6075000035,37.76269462247131,-122.43210688462976,5047,0.262,False,HR003,1.5500894820333246,HR003,2025-01-10
6075000036,37.75871768725674,-122.43276082628994,7211,0.414,False,HR003,1.5816154815802625,HR003,2025-01-10
6075000037,37.804929155844,-122.46125438759562,2607,0.441,False,HR001,4.785326590742957,HR001,2024-03-01
6075000038,37.76820434862915,-122.4023559631725,6671,0.457,False,HR002,1.1777285330332337,HR002,2024-09-15
6075000039,37.73025097868317,-122.43582908190707,5210,0.193,False,HR003,3.773304902773062,HR003,2025-01-10
6075000040,37.73523494750988,-122.41896270584452,6457,0.516,False,HR004,2.59529622699291,HR004,2025-06-01
6075000041,37.74271916998995,-122.40257386693828,6148,0.242,False,HR004,1.40690280762268,HR004,2025-06-01
6075000042,37.792300626041886,-122.40377140883896,4876,0.165,False,HR001,1.2840860671588046,HR001,2024-03-01
6075000043,37.77988490076248,-122.39611152118594,4197,0.372,False,HR002,0.846517170512194,HR002,2024-09-15
6075000044,37.79906698739237,-122.42284699195784,5950,0.298,False,HR001,1.8749814858139393,HR001,2024-03-01
6075000045,37.759946157378224,-122.43421544092156,3271,0.482,False,HR003,1.7038052951295353,HR003,2025-01-10
6075000046,37.78044888918769,-122.42219013738172,5712,0.473,False,HR001,0.8325445958042046,HR001,2024-03-01
6075000047,37.796795663788856,-122.47845670518852,3020,0.277,False,HR001,5.86067637473422,HR001,2024-03-01
6075000048,37.7640728711098,-122.4700489365348,6074,0.531,False,HR003,4.870298351197178,HR003,2025-01-10
