tract_id,lat,lon,population,deprivation_index,is_hot_corridor
06075000001,37.78562830247853,-122.41380080694503,4384,0.675,True
06075000002,37.77756009536256,-122.41881826356544,3149,0.775,True
06075000003,37.788302707174836,-122.40842361215083,4364,0.662,True
06075000004,37.789443388298345,-122.40903324838743,7790,0.798,True
06075000005,37.77209378886808,-122.41330381581464,4514,0.749,True
06075000006,37.77598692295883,-122.4069365527582,7497,0.693,True
06075000007,37.784567042419006,-122.41089494394649,5222,0.681,True
06075000008,37.78190254444594,-122.41885575477731,6348,0.826,True
06075000009,37.780712504704496,-122.40816996693299,5015,0.701,True
06075000010,37.772746704395026,-122.40771280130294,3962,0.928,True
06075000011,37.783770701807846,-122.40240614488668,6703,0.824,True
06075000012,37.778200444534086,-122.40340733561382,7830,0.754,True
06075000013,37.77739082581873,-122.40312360433043,3949,0.827,True
06075000014,37.77441442273358,-122.40301507398196,6783,0.657,True
06075000015,37.78583524803204,-122.39275011439479,3936,0.938,True
06075000016,37.77757282310759,-122.40803849009832,6442,0.795,True
06075000017,37.75682654362557,-122.41034047497278,6839,0.585,False
06075000018,37.755017363630515,-122.41154107439017,4971,0.375,False
06075000019,37.763595876535454,-122.41879305824374,6553,0.496,False
06075000020,37.76667383375633,-122.4134070320616,3997,0.497,False
06075000021,37.75921631525407,-122.41409988514515,2935,0.631,False
06075000022,37.75485906113823,-122.41348786841962,3030,0.522,False
06075000023,37.754953112705856,-122.40957142733231,4958,0.492,False
06075000024,37.76380355672695,-122.41345842670735,7464,0.43,False
06075000025,37.739573481378436,-122.39105085350735,3201,0.449,False
06075000026,37.73590547441694,-122.38043035213259,5006,0.506,False
06075000027,37.737234716392145,-122.39459498669416,6372,0.482,False
06075000028,37.739287729355034,-122.38359032987245,3612,0.356,False
06075000029,37.72675706508087,-122.39949721862969,6468,0.598,False
06075000030,37.733581972701856,-122.39140931017991,4182,0.619,False
06075000031,37.732677764074246,-122.38842348160937,6947,0.392,False
06075000032,37.73166673291054,-122.38588266601184,5685,0.516,False
06075000033,37.79979293029275,-122.40341286668549,5507,0.193,False
06075000034,37.802667153232,-122.44256740793733,3472,0.419,False
06075000035,37.76269462247131,-122.43210688462977,5047,0.262,False
06075000036,37.75871768725674,-122.43276082628994,7211,0.414,False
06075000037,37.804929155844,-122.46125438759562,2607,0.441,False
06075000038,37.76820434862915,-122.4023559631725,6671,0.457,False
06075000039,37.73025097868317,-122.43582908190709,5210,0.193,False
06075000040,37.73523494750988,-122.41896270584452,6457,0.516,False
06075000041,37.74271916998995,-122.40257386693828,6148,0.242,False
06075000042,37.792300626041886,-122.40377140883895,4876,0.165,False
06075000043,37.779884900762475,-122.39611152118594,4197,0.372,False
06075000044,37.79906698739237,-122.42284699195783,5950,0.298,False
06075000045,37.759946157378224,-122.43421544092155,3271,0.482,False
06075000046,37.78044888918769,-122.42219013738172,5712,0.473,False
06075000047,37.796795663788856,-122.47845670518852,3020,0.277,False
06075000048,37.764072871109796,-122.47004893653481,6074,0.531,False
